ORD-7acddd92-77de-49a0-970f-d2850601d630;7390.00;PAGATO
ORD-2925cd6f-42f1-4474-8440-fb29b20976f9;7390.00;PAGATO
ORD-29e53b05-eeda-4197-8c82-1f0ab87b43ab;7390.00;PAGATO
ORD-922d2385-50c0-4241-acde-620897a1d73e;7390.00;PAGATO
ORD-53b9e031-efa3-494a-964d-be78cbaf2b5e;7390.00;PAGATO
ORD-2739b4ff-39bc-4d47-ade6-90524d828d91;7390.00;PAGATO
ORD-ffde4929-e597-4b1c-a4b8-997d2449aa0e;11085.00;PAGATO
ORD-43284660-36d5-43f6-a5e4-474377ee113b;11990.00;PAGATO
ORD-b0f77ff3-8c50-41cb-90a1-5fa545895a78;3495.00;PAGATO
ORD-289f798c-24e8-4cad-b296-c5203fbc7113;7489.00;PAGATO
ORD-fc705b11-c813-4528-85cb-a0f758eeceb5;695.00;PAGATO
ORD-6b1ad728-b144-489d-8060-109915e0491f;3695.00;PAGATO
